Início do treinamento: 20231001_173151
Época	Acurácia Treino	Acurácia Validação	Erro Treino	Erro Validação	Tempo de Época
1	0.9550166726112366	0.9855999946594238	0.1478654644217963	0.04590844672676176	73.63 segundos
2	0.9855666756629944	0.9829000234603882	0.04631476839452516	0.05002822988871485	47.69 segundos
3	0.9895166754722595	0.9873999953269958	0.0335857904366431	0.03946826105453074	52.32 segundos
4	0.9919333457946777	0.9902999997138977	0.026229611745635824	0.028720081508439035	52.27 segundos
5	0.9936166405677795	0.9891999959945679	0.020250470460911312	0.03328549853246659	52.13 segundos
6	0.994949996471405	0.9912999868392944	0.01581731034162561	0.026691871947105393	66.97 segundos
7	0.9954000115394592	0.9922000169754028	0.014343105567466773	0.029445860778275528	63.31 segundos
8	0.9965500235557556	0.9926000237464905	0.010722450942470459	0.025453563291180033	54.59 segundos
9	0.9968000054359436	0.9918000102043152	0.010163551149638534	0.03140948525502463	52.19 segundos
10	0.9974166750907898	0.9905999898910522	0.008430009736173512	0.04153301622099357	52.15 segundos
11	0.9973833560943604	0.9921000003814697	0.008093165343626136	0.032162701655602595	49.86 segundos
12	0.9973166584968567	0.9922999739646912	0.008233391815356012	0.03291714595164667	48.29 segundos
13	0.9981333613395691	0.9907000064849854	0.006548097841657713	0.040063456757651855	48.20 segundos
14	0.9978833198547363	0.9918000102043152	0.006613729268889856	0.03283025481649247	48.36 segundos
15	0.998283326625824	0.9922000169754028	0.005506881978499876	0.03860827571032703	48.29 segundos
16	0.9981833100318909	0.9907000064849854	0.005632981829560392	0.04285694374846496	50.99 segundos
17	0.9982500076293945	0.9909999966621399	0.0058683811487152465	0.04069925231277384	98.74 segundos
18	0.99836665391922	0.991599977016449	0.0056365583161340025	0.03846895337798419	81.13 segundos
19	0.9982333183288574	0.9919999837875366	0.0053372187160391354	0.0472470873612779	105.25 segundos
20	0.9986833333969116	0.9912999868392944	0.0038431267776817893	0.053725205133743	105.53 segundos
21	0.9982500076293945	0.9922999739646912	0.0061324277611479764	0.04607255238948355	80.75 segundos
22	0.9984666705131531	0.9919000267982483	0.004343815174720735	0.0485253362988258	105.21 segundos
23	0.9986500144004822	0.9919000267982483	0.004456661104591989	0.05173235774692141	78.16 segundos
24	0.9985499978065491	0.9902999997138977	0.0044553393915320256	0.06064011216870312	77.43 segundos
25	0.9983500242233276	0.9908999800682068	0.005202542530122266	0.062312790479956325	52.18 segundos
26	0.9988499879837036	0.9919999837875366	0.003625803542361211	0.05652799115353671	97.12 segundos
27	0.9985499978065491	0.9901000261306763	0.004586003729537272	0.058974418033697795	80.00 segundos
28	0.9987499713897705	0.9916999936103821	0.004468174212895477	0.05434745350459864	106.02 segundos
29	0.9987666606903076	0.9926999807357788	0.004339149517769488	0.05334359584496044	105.39 segundos
30	0.9991499781608582	0.9915000200271606	0.0029108546415258425	0.05529342133683658	80.63 segundos
31	0.9988333582878113	0.9925000071525574	0.004796351407643755	0.055080887582840264	105.30 segundos
32	0.9991833567619324	0.9908000230789185	0.0035669352591369374	0.06274877593388806	81.34 segundos
33	0.9988166689872742	0.9891999959945679	0.0043575910680465095	0.08022143355399909	105.64 segundos
34	0.9988166689872742	0.9908999800682068	0.003743743588533487	0.06889320551040162	105.31 segundos
35	0.9986000061035156	0.9905999898910522	0.005291591720000262	0.0722753873357491	80.68 segundos
36	0.9990666508674622	0.9908000230789185	0.0030572236872421538	0.07370894241796135	100.09 segundos
37	0.9989666938781738	0.9915000200271606	0.003713480912532864	0.06154317725624644	70.13 segundos
38	0.9989166855812073	0.9916999936103821	0.004195210423707118	0.06679547732791741	78.03 segundos
39	0.9992666840553284	0.9904000163078308	0.003174398050002915	0.06814503257875297	106.68 segundos
40	0.9987999796867371	0.9902999997138977	0.004311390506957979	0.0788231455708283	105.97 segundos
41	0.9991833567619324	0.9909999966621399	0.002838422657354352	0.09025710451276409	78.86 segundos
42	0.9990166425704956	0.9901999831199646	0.003415929054471483	0.08755810759864384	104.61 segundos
43	0.9989333152770996	0.9907000064849854	0.0041497438489300105	0.08268142757685579	80.81 segundos
44	0.9993166923522949	0.9894000291824341	0.00265785067523796	0.09988863980700785	105.46 segundos
45	0.9993500113487244	0.9919999837875366	0.0028245411258773358	0.09197386435881433	76.82 segundos
46	0.9986500144004822	0.9904999732971191	0.006024784453152311	0.0793597042801097	106.95 segundos
47	0.9989166855812073	0.9876000285148621	0.003883576519093764	0.11627044646700783	74.00 segundos
48	0.9993333220481873	0.9894000291824341	0.002924667139848787	0.0817960164698078	102.62 segundos
49	0.9989333152770996	0.989300012588501	0.004393842802838822	0.11306138177286816	105.51 segundos
50	0.9990166425704956	0.9925000071525574	0.003475992722952831	0.10185743195172851	79.86 segundos
