Início do treinamento: 20231001_184345
Época	Acurácia Treino	Acurácia Validação	Erro Treino	Erro Validação	Tempo de Época
1	0.9381166696548462	0.9821000099182129	0.19693772170792023	0.05861654026657343	1126.48 segundos
2	0.9849166870117188	0.9872999787330627	0.04992539699766785	0.041624288293346766	47.83 segundos
3	0.9890000224113464	0.9872999787330627	0.035989023204954965	0.03869003013670445	47.27 segundos
4	0.9910500049591064	0.9919000267982483	0.028938001807716985	0.027270829896815122	47.21 segundos
5	0.9926999807357788	0.9887999892234802	0.022164859513783206	0.036790392252989114	52.56 segundos
6	0.9939166903495789	0.9900000095367432	0.01868794740208735	0.03190988204618916	53.08 segundos
7	0.9956166744232178	0.9896000027656555	0.014240811034641228	0.03423835920463316	47.04 segundos
8	0.9955666661262512	0.9919999837875366	0.012692492389423812	0.028515032423497177	50.32 segundos
9	0.9957666397094727	0.9894999861717224	0.012000748936776653	0.036066700321622194	53.42 segundos
10	0.996833324432373	0.9904999732971191	0.009407921849570509	0.030881294006388633	53.88 segundos
11	0.9975500106811523	0.9898999929428101	0.007354093446850068	0.037975866306026	53.62 segundos
12	0.9971833229064941	0.9933000206947327	0.008365025706364153	0.02633347768911626	53.17 segundos
13	0.9980999827384949	0.9926999807357788	0.006200526260671601	0.02985103635544656	54.31 segundos
14	0.998116672039032	0.9919999837875366	0.005663096792307746	0.03394175727934198	54.19 segundos
15	0.9981499910354614	0.9889000058174133	0.0055859326178484174	0.04921689708724152	47.36 segundos
16	0.9983833432197571	0.9927999973297119	0.005054336275620062	0.032226755437748104	50.56 segundos
17	0.9983333349227905	0.9927999973297119	0.005240554639895481	0.03243086572180619	53.23 segundos
18	0.9983833432197571	0.9926999807357788	0.0051957277356645135	0.03583493160581784	53.88 segundos
19	0.9987999796867371	0.9932000041007996	0.003993241836344229	0.029677710185585602	53.49 segundos
20	0.9989666938781738	0.993399977684021	0.0031248920589734856	0.03249863374633387	53.58 segundos
21	0.9985833168029785	0.9921000003814697	0.004567137272438318	0.042892218528543705	53.51 segundos
22	0.9988499879837036	0.9914000034332275	0.004134679841915829	0.04340988037961306	54.37 segundos
23	0.9991999864578247	0.9908000230789185	0.002285813557335272	0.04623062269752154	47.28 segundos
24	0.9985499978065491	0.9919999837875366	0.005045879763603812	0.044901756089581975	50.11 segundos
25	0.9988333582878113	0.9926000237464905	0.0034188649678132664	0.038792216121314414	54.03 segundos
26	0.9991499781608582	0.9922000169754028	0.002333747534343018	0.04878395304954584	54.49 segundos
27	0.9986000061035156	0.9915000200271606	0.004054835884884362	0.04333550840684518	53.01 segundos
28	0.9991000294685364	0.9922999739646912	0.0030413593605534595	0.04370961989297375	54.00 segundos
29	0.9991000294685364	0.9930999875068665	0.0031806316096378425	0.039294210193736766	53.96 segundos
30	0.9991166591644287	0.991599977016449	0.0025060091500916136	0.055555553173296086	53.53 segundos
31	0.9992333054542542	0.9927999973297119	0.002741556128889422	0.045758628511619374	47.21 segundos
32	0.9992833137512207	0.9930999875068665	0.002749535766685938	0.044200763658607395	50.05 segundos
33	0.9992833137512207	0.9923999905586243	0.0022530618277713183	0.04496827937810113	52.41 segundos
34	0.9992833137512207	0.9926000237464905	0.002488988786680024	0.05042592727899737	53.22 segundos
35	0.9987000226974487	0.9912999868392944	0.00498377819784916	0.051028253703067426	52.89 segundos
36	0.9990333318710327	0.9915000200271606	0.0030680979467215693	0.04899614749847112	52.64 segundos
37	0.9995499849319458	0.9937000274658203	0.0015168018840205201	0.03616183132568576	54.31 segundos
38	0.9990500211715698	0.9934999942779541	0.002719676627814304	0.043833589675874966	47.23 segundos
39	0.9998499751091003	0.9886999726295471	0.0008480867226387111	0.05795051565781885	52.35 segundos
40	0.9990500211715698	0.9904000163078308	0.0038630684225526377	0.06020949816032774	55.92 segundos
41	0.9990500211715698	0.9927999973297119	0.0033312837754484767	0.049776142837295125	52.43 segundos
42	0.9992499947547913	0.9923999905586243	0.002220674040325618	0.04882132444179785	53.37 segundos
43	0.9991833567619324	0.9919999837875366	0.0026350971761207745	0.05322601177078755	53.53 segundos
44	0.9993666410446167	0.9930999875068665	0.0015754659089833613	0.05489155537273832	53.31 segundos
45	0.9994333386421204	0.9916999936103821	0.0019868347014419005	0.05693586500800385	55.08 segundos
46	0.9988499879837036	0.9930999875068665	0.0036629588569780814	0.04719956672272264	50.26 segundos
47	0.9993666410446167	0.9927999973297119	0.002392991038253916	0.05163626299210615	47.76 segundos
48	0.9994166493415833	0.9932000041007996	0.0020528721703018515	0.056374724814716004	55.40 segundos
49	0.9991666674613953	0.9922000169754028	0.0029638280007620865	0.06531231295553133	53.80 segundos
50	0.9992666840553284	0.9919000267982483	0.0032503699439210432	0.07249110912685462	52.43 segundos
